,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,5.0
1,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0
2,7.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0
3,6.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0
4,7.0,8.0,6.0,6.0,4.0,6.0,5.0,6.0
5,5.0,4.0,5.0,5.0,6.0,4.0,5.0,3.0
6,5.0,6.0,6.0,7.0,6.0,5.0,4.0,4.0
7,8.0,7.0,7.0,4.0,5.0,7.0,5.0,7.0
8,6.0,6.0,7.0,6.0,6.0,6.0,5.0,7.0
9,4.0,4.0,4.0,6.0,5.0,7.0,6.0,7.0
10,6.0,6.0,5.0,5.0,7.0,4.0,7.0,6.0
11,5.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
12,5.0,5.0,7.0,5.0,4.0,7.0,5.0,6.0
13,6.0,6.0,6.0,4.0,5.0,4.0,6.0,7.0
14,5.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0
15,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
16,4.0,5.0,4.0,7.0,5.0,6.0,5.0,6.0
17,5.0,5.0,6.0,4.0,7.0,5.0,4.0,5.0
18,6.0,5.0,5.0,6.0,5.0,7.0,6.0,7.0
19,7.0,7.0,7.0,5.0,5.0,6.0,4.0,8.0
20,6.0,6.0,5.0,5.0,6.0,6.0,6.0,8.0
21,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0
22,5.0,4.0,4.0,6.0,4.0,3.0,6.0,4.0
23,5.0,5.0,6.0,5.0,7.0,6.0,3.0,5.0
24,5.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0
25,6.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0
26,5.0,5.0,5.0,5.0,7.0,6.0,5.0,4.0
27,6.0,6.0,6.0,7.0,6.0,4.0,7.0,6.0
28,7.0,6.0,6.0,7.0,5.0,6.0,5.0,5.0
29,7.0,6.0,7.0,7.0,3.0,7.0,6.0,7.0
30,6.0,7.0,4.0,6.0,6.0,6.0,6.0,4.0
31,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0
32,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0
33,6.0,5.0,7.0,4.0,6.0,4.0,6.0,6.0
34,7.0,7.0,8.0,4.0,5.0,7.0,6.0,7.0
35,5.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0
36,5.0,5.0,4.0,4.0,8.0,6.0,4.0,4.0
37,4.0,4.0,5.0,5.0,6.0,4.0,4.0,3.0
38,7.0,8.0,7.0,3.0,7.0,5.0,5.0,6.0
39,4.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0
40,6.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0
41,6.0,6.0,5.0,5.0,5.0,6.0,4.0,6.0
42,5.0,6.0,5.0,5.0,7.0,5.0,5.0,3.0
43,6.0,7.0,5.0,5.0,6.0,6.0,7.0,4.0
44,6.0,4.0,6.0,8.0,3.0,6.0,6.0,7.0
45,4.0,5.0,5.0,6.0,7.0,3.0,6.0,4.0
46,6.0,6.0,6.0,5.0,7.0,4.0,6.0,7.0
47,7.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0
48,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0
49,6.0,6.0,7.0,4.0,6.0,5.0,4.0,5.0
50,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0
51,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0
52,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0
53,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
54,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0
55,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0
56,5.0,5.0,3.0,6.0,6.0,4.0,3.0,3.0
57,6.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0
58,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0
59,5.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0
60,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0
61,5.0,5.0,7.0,4.0,6.0,5.0,5.0,6.0
62,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
63,5.0,4.0,5.0,4.0,6.0,5.0,5.0,7.0
64,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0
65,4.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0
66,4.0,4.0,5.0,7.0,4.0,5.0,6.0,5.0
67,5.0,5.0,6.0,5.0,6.0,4.0,4.0,6.0
68,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0
69,4.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0
70,6.0,6.0,6.0,6.0,5.0,6.0,7.0,4.0
71,5.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0
72,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0
73,5.0,5.0,3.0,4.0,7.0,5.0,5.0,7.0
74,5.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0
75,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0
76,4.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0
77,5.0,5.0,5.0,6.0,4.0,5.0,7.0,5.0
78,6.0,7.0,7.0,7.0,3.0,7.0,5.0,8.0
79,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0
80,5.0,5.0,5.0,6.0,6.0,3.0,7.0,4.0
81,6.0,4.0,5.0,5.0,6.0,7.0,6.0,5.0
82,6.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0
83,6.0,6.0,4.0,4.0,7.0,6.0,5.0,4.0
84,5.0,6.0,6.0,6.0,4.0,8.0,6.0,5.0
85,6.0,5.0,6.0,6.0,4.0,7.0,7.0,5.0
86,4.0,5.0,5.0,7.0,6.0,5.0,6.0,6.0
87,5.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0
88,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0
89,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0
90,7.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0
91,6.0,5.0,5.0,6.0,7.0,5.0,6.0,6.0
92,7.0,6.0,6.0,6.0,5.0,7.0,5.0,5.0
93,6.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0
94,6.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0
95,6.0,5.0,5.0,7.0,4.0,5.0,4.0,5.0
96,5.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0
97,5.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0
98,7.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0
99,5.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0
100,6.0,7.0,7.0,6.0,5.0,6.0,7.0,5.0
101,5.0,6.0,7.0,5.0,5.0,5.0,4.0,3.0
102,6.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0
103,6.0,5.0,6.0,5.0,7.0,5.0,7.0,6.0
104,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
105,7.0,8.0,8.0,5.0,7.0,6.0,7.0,6.0
106,5.0,5.0,6.0,6.0,7.0,4.0,5.0,5.0
107,6.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0
108,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0
109,5.0,4.0,4.0,4.0,6.0,4.0,7.0,6.0
110,6.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0
111,4.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0
